,,
METS,SPORT CATEGORY,DESCRIPTION
3,WATER ACTIVITIES,"surfing, body or board"
10,WATER ACTIVITIES,"swimming freestyle, vigorous effort."
8,WATER ACTIVITIES,"swimming, moderate or light effort"
6,WATER ACTIVITIES,"swimming, general"
10,WATER ACTIVITIES,"swimming,vigorous effort"
4,WATER ACTIVITIES,"water aerobics, water calisthenics"
10,WATER ACTIVITIES,water polo
3,WATER ACTIVITIES,water volleyball
8,WATER ACTIVITIES,water jogging
5,WATER ACTIVITIES,"whilewater rafting, kayaking or canoeing"
7,WINTER ACTIVITIES,"skating, ice, general"
9,WINTER ACTIVITIES,"skating, ice, rapidly."
15,WINTER ACTIVITIES,"skating, speed, competitive"
7,WINTER ACTIVITIES,ski jumping (clim up carrying skis)
7,WINTER ACTIVITIES,"skiing, general."
9,WINTER ACTIVITIES,"skiing, cross country, vigorous effort."
14,WINTER ACTIVITIES,"skiing, cross country, racing."
"16,5",WINTER ACTIVITIES,"skiing, cross country, uphill."
6,WINTER ACTIVITIES,"skiing, downhill, general."
8,WINTER ACTIVITIES,"skiing, downhill, vigorous effort."
7,WINTER ACTIVITIES,"sledding, tobogganing, bobsledding, luge"
8,WINTER ACTIVITIES,snow shoeing
