5,cardio,"whilewater rafting, kayaking or canoeing"
7,cardio,"skating, ice, general"
9,cardio,"skating, ice, rapidly."
15,cardio,"skating, speed, competitive"
7,cardio,ski jumping (clim up carrying skis)
7,cardio,"skiing, general."
9,cardio,"skiing, cross country, vigorous effort."
14,cardio,"skiing, cross country, racing."
16.5,cardio,"skiing, cross country, uphill."
6,cardio,"skiing, downhill, general."
8,cardio,"skiing, downhill, vigorous effort."
7,cardio,"sledding, tobogganing, bobsledding, luge"
8,cardio,snow shoeing
